Player Name,Team,Total Points,Position,Goals Scored,Assists,Clean Sheets,Yellow Cards,Red Cards,Goals Conceded,Own Goals,Penalties Missed,Penalties Saved,Saves,Bonus Points
Charlie Austin 348,Southampton,46,FWD,2,2,5,1,0,17,0,1,0,0,1
Álvaro Morata 134,Chelsea,46,FWD,5,0,6,3,0,11,0,0,0,0,3
Danilo Luiz da Silva 266,Man City,46,DEF,1,0,4,1,0,7,0,0,0,0,7
Joe Ralls 98,Cardiff,45,MID,0,0,5,4,1,40,0,1,0,0,0
Karlan Grant 585,Huddersfield,45,FWD,3,2,1,0,0,23,0,0,0,0,5
Martín Montoya 503,Brighton,45,DEF,0,1,3,4,0,41,0,0,0,0,1
Charlie Daniels 28,Bournemouth,44,DEF,1,0,4,4,0,34,0,0,0,0,1
Adama Traoré 500,Wolves,44,MID,1,1,1,1,0,13,0,0,0,0,2
Maya Yoshida 331,Southampton,44,DEF,0,1,3,0,0,29,0,0,0,0,4
Oleksandr Zinchenko 279,Man City,44,MID,0,3,9,1,0,4,0,0,0,0,1
Denis Odoi 181,Fulham,44,DEF,0,1,3,4,0,62,1,0,0,0,2
Phil Jones 285,Man Utd,43,DEF,0,1,3,1,0,17,0,0,0,0,3
Pedro Obiang 413,West Ham,43,MID,0,2,2,0,0,21,0,0,0,0,1
Harvey Barnes 571,Leicester,43,MID,1,3,1,0,0,16,0,0,0,0,1
Yves Bissouma 466,Brighton,43,MID,0,0,3,5,0,32,0,0,0,0,0
Lee Peltier 95,Cardiff,43,DEF,0,0,5,4,0,26,0,0,0,0,1
Ciaran Clark 311,Newcastle,42,DEF,3,0,2,1,0,15,0,0,0,0,4
Cyrus Christie 460,Fulham,42,DEF,0,1,3,7,0,42,0,0,0,0,2
Isaac Success Ajayi 524,Watford,42,FWD,1,1,2,4,0,21,0,0,0,0,0
Fernando Llorente 371,Spurs,41,FWD,1,4,2,2,0,8,1,0,0,0,3
Aaron Lennon 83,Burnley,41,MID,1,1,3,1,0,22,0,0,0,0,2
Frederico Rodrigues de Paula Santos 304,Man Utd,40,MID,1,2,1,2,0,19,0,0,0,0,3
Simon Francis 26,Bournemouth,40,DEF,0,2,4,1,0,24,0,0,0,0,0
Bernardo Fernandes da Silva Junior 440,Brighton,39,DEF,0,1,2,4,0,29,0,0,0,0,0
